                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.6959,                0.72969,                 1.0807,                0.78756,                0.71457,                0.77774,                0.60724,                0.80973,                0.99125,                 1.1639,             0.00083053,             0.00083053,             0.00083053
                     53,                0.65269,                0.67075,                 1.0618,                0.81944,                0.76048,                0.82643,                0.65998,                 0.7756,                0.87575,                 1.1159,             0.00082503,             0.00082503,             0.00082503
                     54,                0.66082,                0.65918,                 1.0609,                0.75987,                0.70687,                0.75999,                0.59207,                0.82444,                 1.1212,                 1.1713,             0.00081953,             0.00081953,             0.00081953
                     55,                0.68504,                0.69222,                 1.0798,                0.80233,                 0.7607,                0.83093,                0.65708,                0.76668,                0.84114,                 1.1184,             0.00081403,             0.00081403,             0.00081403
                     56,                0.68565,                0.69647,                 1.0859,                0.83935,                0.76049,                0.82937,                0.66355,                0.76029,                0.86605,                 1.1165,             0.00080853,             0.00080853,             0.00080853
                     57,                0.67457,                0.68744,                 1.0781,                0.84357,                0.81347,                0.84832,                0.66564,                 0.7838,                  0.793,                  1.133,             0.00080303,             0.00080303,             0.00080303
                     58,                0.68176,                0.68199,                 1.0718,                0.72669,                0.79906,                0.82535,                0.66732,                0.75531,                0.85208,                 1.1262,             0.00079753,             0.00079753,             0.00079753
                     59,                 0.6979,                0.69899,                 1.0948,                0.78005,                0.76882,                0.82622,                0.67162,                0.75943,                0.86432,                 1.1274,             0.00079203,             0.00079203,             0.00079203
                     60,                0.67833,                0.66909,                 1.0677,                 0.8094,                 0.7491,                0.82586,                 0.6646,                0.75808,                0.91749,                 1.1375,             0.00078653,             0.00078653,             0.00078653
                     61,                0.67527,                0.64855,                  1.073,                0.84482,                 0.7436,                0.82692,                0.65743,                0.76007,                 0.8547,                 1.1315,             0.00078103,             0.00078103,             0.00078103
                     62,                0.68257,                0.67001,                 1.0802,                 0.8124,                0.76943,                0.80933,                0.63574,                0.78418,                0.92561,                 1.1493,             0.00077553,             0.00077553,             0.00077553
                     63,                0.65944,                0.64656,                 1.0601,                0.80137,                0.78644,                0.85608,                0.67862,                0.79684,                0.79914,                 1.1711,             0.00077003,             0.00077003,             0.00077003
                     64,                0.66109,                0.63475,                  1.055,                0.74517,                0.75523,                0.78231,                0.62985,                0.77966,                0.97738,                  1.161,             0.00076453,             0.00076453,             0.00076453
                     65,                0.65972,                0.62727,                 1.0614,                0.76003,                0.72363,                0.77603,                0.62261,                0.81331,                 1.0604,                 1.1748,             0.00075904,             0.00075904,             0.00075904
                     66,                0.65125,                0.63354,                 1.0624,                0.86279,                  0.708,                0.78565,                0.62677,                 0.8197,                0.99409,                 1.1739,             0.00075354,             0.00075354,             0.00075354
                     67,                0.67707,                0.65713,                 1.0858,                0.79701,                0.78099,                0.84508,                0.67693,                0.78523,                0.85272,                 1.1555,             0.00074804,             0.00074804,             0.00074804
                     68,                0.64379,                0.63028,                 1.0489,                0.84167,                 0.7421,                0.80816,                0.64389,                0.81642,                0.98051,                 1.1935,             0.00074254,             0.00074254,             0.00074254
                     69,                0.64826,                0.63427,                 1.0653,                0.77915,                0.73992,                0.81166,                0.63454,                0.83319,                0.96734,                 1.1967,             0.00073704,             0.00073704,             0.00073704
                     70,                0.64672,                0.62771,                 1.0602,                0.79418,                0.75855,                0.77657,                0.60877,                0.81294,                0.95021,                 1.1599,             0.00073154,             0.00073154,             0.00073154
                     71,                 0.6479,                0.64345,                 1.0572,                0.84531,                0.78549,                0.85196,                0.69286,                0.73282,                0.80972,                  1.088,             0.00072604,             0.00072604,             0.00072604
                     72,                0.64698,                0.63751,                 1.0484,                0.84667,                0.74021,                0.83288,                0.65291,                 0.7884,                 0.8717,                 1.1545,             0.00072054,             0.00072054,             0.00072054
                     73,                0.62967,                0.59924,                 1.0472,                 0.8083,                0.73377,                0.79953,                 0.6326,                0.78871,                 1.0333,                  1.167,             0.00071504,             0.00071504,             0.00071504
                     74,                 0.6492,                0.61414,                 1.0606,                0.80162,                0.77523,                0.83567,                0.66967,                0.75716,                0.81228,                 1.1116,             0.00070954,             0.00070954,             0.00070954
                     75,                0.62403,                0.60053,                 1.0499,                0.79816,                0.77233,                0.83617,                0.66421,                0.78459,                0.85912,                 1.1466,             0.00070404,             0.00070404,             0.00070404
                     76,                0.65117,                0.62831,                 1.0589,                 0.7691,                0.84703,                 0.8358,                0.66795,                0.74896,                0.80712,                 1.1078,             0.00069854,             0.00069854,             0.00069854
                     77,                0.63463,                0.60311,                 1.0416,                0.75604,                0.79844,                0.81923,                0.65113,                0.76814,                0.89069,                 1.1184,             0.00069304,             0.00069304,             0.00069304
                     78,                0.61583,                0.57295,                 1.0266,                0.88471,                0.78833,                0.85362,                0.68037,                 0.7645,                0.81019,                 1.1244,             0.00068754,             0.00068754,             0.00068754
                     79,                0.61276,                0.57221,                 1.0251,                0.77407,                0.79278,                0.83093,                0.65309,                0.80532,                0.92012,                 1.1764,             0.00068204,             0.00068204,             0.00068204
                     80,                0.61009,                0.58101,                 1.0362,                0.82591,                0.76899,                0.84848,                0.68454,                0.76273,                0.79945,                 1.1156,             0.00067654,             0.00067654,             0.00067654
                     81,                0.61225,                0.56057,                 1.0351,                0.81808,                0.83169,                0.86645,                0.69995,                 0.7482,                0.75433,                 1.1153,             0.00067104,             0.00067104,             0.00067104
                     82,                 0.6253,                0.58806,                 1.0477,                0.78537,                0.77566,                0.82557,                0.67219,                0.73457,                0.88809,                 1.1146,             0.00066554,             0.00066554,             0.00066554
                     83,                0.61184,                0.57759,                  1.036,                0.83489,                0.82855,                0.85432,                0.68611,                0.75643,                0.76529,                 1.1142,             0.00066005,             0.00066005,             0.00066005
                     84,                 0.6197,                0.58682,                 1.0391,                0.83299,                0.77591,                0.84654,                0.67547,                0.74516,                0.76925,                 1.1101,             0.00065455,             0.00065455,             0.00065455
                     85,                0.60283,                 0.5648,                 1.0322,                0.85365,                 0.7696,                0.82943,                0.66518,                0.77045,                0.83157,                 1.1352,             0.00064905,             0.00064905,             0.00064905
                     86,                0.63415,                 0.5653,                 1.0455,                0.84191,                0.77599,                0.82963,                 0.6679,                0.71246,                0.91054,                 1.0866,             0.00064355,             0.00064355,             0.00064355
                     87,                0.58932,                0.55646,                 1.0283,                0.82365,                0.76015,                0.83193,                0.67355,                0.72772,                0.80685,                  1.095,             0.00063805,             0.00063805,             0.00063805
                     88,                0.62239,                0.56855,                 1.0414,                0.84684,                0.72095,                0.80569,                0.64842,                0.79499,                0.85805,                 1.1547,             0.00063255,             0.00063255,             0.00063255
                     89,                0.60419,                0.54402,                 1.0189,                0.82608,                0.76723,                0.84837,                0.68379,                0.76988,                0.76966,                 1.1133,             0.00062705,             0.00062705,             0.00062705
                     90,                 0.6119,                0.53978,                 1.0309,                 0.8502,                 0.7917,                0.85293,                0.67341,                0.75553,                0.75718,                 1.1192,             0.00062155,             0.00062155,             0.00062155
                     91,                0.60907,                0.54569,                 1.0241,                0.80646,                0.80757,                0.86458,                0.69702,                0.74516,                0.75836,                 1.1068,             0.00061605,             0.00061605,             0.00061605
                     92,                0.57638,                0.53964,                 1.0123,                0.82911,                0.78796,                0.85178,                 0.6809,                0.76019,                0.82804,                 1.1154,             0.00061055,             0.00061055,             0.00061055
                     93,                0.59076,                0.53593,                 1.0308,                0.83817,                0.73483,                0.82683,                0.66401,                 0.7641,                0.84573,                 1.1409,             0.00060505,             0.00060505,             0.00060505
                     94,                0.60189,                0.55272,                 1.0365,                0.80303,                0.73932,                0.81731,                0.67062,                 0.7397,                0.85714,                  1.115,             0.00059955,             0.00059955,             0.00059955
                     95,                0.61517,                0.54764,                 1.0306,                0.84586,                0.72838,                0.81977,                0.64661,                0.78817,                0.85093,                 1.1603,             0.00059405,             0.00059405,             0.00059405
                     96,                0.60952,                0.55681,                 1.0337,                0.78499,                0.78925,                0.81956,                0.66014,                0.76077,                0.86106,                 1.1369,             0.00058855,             0.00058855,             0.00058855
                     97,                0.59398,                0.53574,                 1.0212,                0.78147,                0.79857,                   0.83,                0.65645,                0.78818,                0.81709,                 1.1479,             0.00058305,             0.00058305,             0.00058305
                     98,                0.59068,                0.53565,                 1.0161,                0.82031,                0.80609,                0.84569,                 0.6858,                0.73216,                0.74575,                  1.085,             0.00057755,             0.00057755,             0.00057755
                     99,                  0.578,                0.51722,                 1.0075,                0.81526,                0.80215,                0.85457,                0.70126,                0.71207,                0.77016,                 1.0823,             0.00057205,             0.00057205,             0.00057205
                    100,                0.56261,                0.50949,                0.99849,                0.81711,                0.82114,                0.84931,                0.68461,                0.73534,                0.74636,                 1.1009,             0.00056655,             0.00056655,             0.00056655
                    101,                  0.563,                0.50083,                 1.0095,                 0.8098,                0.83047,                0.83422,                0.66854,                0.75208,                0.76497,                 1.1284,             0.00056105,             0.00056105,             0.00056105
                    102,                0.56703,                0.51303,                 1.0169,                0.83822,                0.78445,                0.83476,                0.66912,                0.74511,                0.86199,                 1.1351,             0.00055556,             0.00055556,             0.00055556
